Title,Content,Link,Category
"
                                هناء الرستماني أول سيدة تتولى رئاسة بنك أبوظبي الأول ","عيَّّن بنك أبوظبي الأول هناء الرستماني رئيساً تنفيذياً للمجموعة، لتصبح بذلك أوَّل امرأة تتولى أعلى منصب قيادي في أكبر بنك بدولة الإمارات العربية المتحدة، بحجم 44 مليار دولار.وستحلُّ الرستماني مكان أندريه صايغ، الذي أمضى أقل من عام في هذا المنصب. وهي تشغل حالياً منصب نائب الرئيس التنفيذي للمجموعة، ورئيس الخدمات المصرفية الشخصية.الرستماني هي من بين عدد متزايد من النساء اللواتي تمَّ اختيارهن لقيادة الشركات في الشرق الأوسط. ففي الأسبوع الماضي، عيَّنت الحكومة العُمانية هيفاء الخايفية رئيسةً تنفيذية لشركة تنمية طاقة عُمان، التي تمتلك حصة 60% في المربع البلوك 6 النفطي الذي ينتج 650 ألف برميل يومياً.ومن بين النساء الأخريات في مناصب قيادية في المنطقة سارة السحيمي، رئيسة السوق المالية السعودية والبورصة السعودية، ورئيسة شركة الأهلي كابيتال. وكارمن حداد، نائب رئيس ""سيتي غروب"" الشرق الأوسط.وصرَّح رئيس مجلس إدارة بنك أبوظبي الأول الشيخ طحنون بن زايد آل نهيان: ""لطالما كان بنك أبوظبي الأول مؤسسة تدافع عن التنوُّع، وتعيين أوَّل رئيسة تنفيذية للمجموعة لقيادة مؤسستنا إلى المستقبل، هو أمر يستحق التقدير"".وتشغل الرستماني حالياً منصب رئيس مجلس إدارة بنك أبوظبي الأول سويس الخاص. كما شغلت منصب مدير مستقل في شركة الإمارات للاتصالات المتكاملة ""دو""، ونائب رئيس معهد الإمارات للخدمات المصرفية والمالية.اقرأ أيضاً: أرباح أكبر بنك إماراتي تهبط 15% في 2020عيَّّن بنك أبوظبي الأول هناء الرستماني رئيساً تنفيذياً للمجموعة، لتصبح بذلك أوَّل امرأة تتولى أعلى منصب قيادي في أكبر بنك بدولة الإمارات العربية المتحدة، بحجم 44 مليار دولار.وستحلُّ الرستماني مكان أندريه صايغ، الذي أمضى أقل من عام في هذا المنصب. وهي تشغل حالياً منصب نائب الرئيس التنفيذي للمجموعة، ورئيس الخدمات المصرفية الشخصية.الرستماني هي من بين عدد متزايد من النساء اللواتي تمَّ اختيارهن لقيادة الشركات في الشرق الأوسط. ففي الأسبوع الماضي، عيَّنت الحكومة العُمانية هيفاء الخايفية رئيسةً تنفيذية لشركة تنمية طاقة عُمان، التي تمتلك حصة 60% في المربع البلوك 6 النفطي الذي ينتج 650 ألف برميل يومياً.ومن بين النساء الأخريات في مناصب قيادية في المنطقة سارة السحيمي، رئيسة السوق المالية السعودية والبورصة السعودية، ورئيسة شركة الأهلي كابيتال. وكارمن حداد، نائب رئيس ""سيتي غروب"" الشرق الأوسط.وصرَّح رئيس مجلس إدارة بنك أبوظبي الأول الشيخ طحنون بن زايد آل نهيان: ""لطالما كان بنك أبوظبي الأول مؤسسة تدافع عن التنوُّع، وتعيين أوَّل رئيسة تنفيذية للمجموعة لقيادة مؤسستنا إلى المستقبل، هو أمر يستحق التقدير"".وتشغل الرستماني حالياً منصب رئيس مجلس إدارة بنك أبوظبي الأول سويس الخاص. كما شغلت منصب مدير مستقل في شركة الإمارات للاتصالات المتكاملة ""دو""، ونائب رئيس معهد الإمارات للخدمات المصرفية والمالية.",https://www.asharqbusiness.com/article/5372/هناء-الرستماني-أول-سيدة-تتولى-رئاسة-بنك-أبوظبي-الأول,ريادة أعمال
"
                                ""كويشو"" الصينية تسعى لأكبر اكتتاب لشركة تكنولوجيا منذ ""أوبر"" ","تسعى شركة "" كويشو تكنولوجي"" المنافس الرئيسي لشركة ""بايتدانس ليمتد ""في الصين، إلى جمع نحو 5.4 مليار دولار في طرح عام أولي ببورصة هونغ كونغ، وهو الأكبر في العالم بين شركات الإنترنت منذ اكتتاب شركة "" أوبر تكنولوجيز إنك "" .ومن المقرَّر أن تبيع شركة الفيديوهات القصيرة الناشئة، المدعومة من "" تنسنت هولدينغز ليمتد ""، 365 مليون سهم بسعر 105 دولار هونغ كونغي إلى 115 دولاراً هونغ كونغياً للسهم الواحد. وستبدأ الشركة في تلقي طلبات المستثمرين اعتباراً من يوم الإثنين حتى 29 يناير، ومن المنتظر إدراجها في 5 فبراير المقبل.تحاول شركة "" كويشو "" إجراء أكبر اكتتاب عام بين شركات الإنترنت في العالم منذ بيع أسهم شركة "" أوبر "" بقيمة 8.1 مليار دولار في مايو 2019 ، وفقاً للبيانات التي جمعتها وكالة "" بلومبرغ "". كما سيعطي الاكتتاب العام الأولي للشركة الناشئة الصينية دفعة أخرى لسوق رأس المال الساخن بالفعل في هونغ كونغ، ويمكن أن يصبح الأكبر في آسيا منذ طرح شركة "" بودوايزر بروينغ كو. أيه بي أيه سي ليمتد ""بقيمة 5.8 مليار دولار قبل عامين تقريباً.قصة نجاحتعدُّ شركة "" كويشو""، التي يعني اسمها ""اليد السريعة"" باللغة الصينية ، واحدة من أكبر قصص نجاح شركات الإنترنت في الصين في العقد الماضي، وهي جزء من جيل من الشركات الناشئة التي ازدهرت بدعم من شركة ""تنسنت"". جنباً إلى جنب مع شركة "" بايتدانس"" ، الشركة الأم لشركة "" تيك توك ""، وكانت التجهيزات التي شارك في ابتكارها ""سو هوا""، رجل الأعمال الصيني، في عام 2013 رائدة في تنسيق البث المباشر، ومقاطع الفيديو الصغيرة التي جرى تبنِّيها منذ ذلك الحين في جميع أنحاء العالم من قبل شركات مثل ""فيسبوك إنك"". كما يمكن أن يختبر الطرح العام الأولي الوشيك لشركة "" كويشو"" شهية المستثمرين لمنافسها الأكبر بكثير، الذي بلغت قيمته آخر مرة 180 مليار دولار.تسعى شركة "" كويشو تكنولوجي"" المنافس الرئيسي لشركة ""بايتدانس ليمتد ""في الصين، إلى جمع نحو 5.4 مليار دولار في طرح عام أولي ببورصة هونغ كونغ، وهو الأكبر في العالم بين شركات الإنترنت منذ اكتتاب شركة "" أوبر تكنولوجيز إنك "" .ومن المقرَّر أن تبيع شركة الفيديوهات القصيرة الناشئة، المدعومة من "" تنسنت هولدينغز ليمتد ""، 365 مليون سهم بسعر 105 دولار هونغ كونغي إلى 115 دولاراً هونغ كونغياً للسهم الواحد. وستبدأ الشركة في تلقي طلبات المستثمرين اعتباراً من يوم الإثنين حتى 29 يناير، ومن المنتظر إدراجها في 5 فبراير المقبل.تحاول شركة "" كويشو "" إجراء أكبر اكتتاب عام بين شركات الإنترنت في العالم منذ بيع أسهم شركة "" أوبر "" بقيمة 8.1 مليار دولار في مايو 2019 ، وفقاً للبيانات التي جمعتها وكالة "" بلومبرغ "". كما سيعطي الاكتتاب العام الأولي للشركة الناشئة الصينية دفعة أخرى لسوق رأس المال الساخن بالفعل في هونغ كونغ، ويمكن أن يصبح الأكبر في آسيا منذ طرح شركة "" بودوايزر بروينغ كو. أيه بي أيه سي ليمتد ""بقيمة 5.8 مليار دولار قبل عامين تقريباً.تعدُّ شركة "" كويشو""، التي يعني اسمها ""اليد السريعة"" باللغة الصينية ، واحدة من أكبر قصص نجاح شركات الإنترنت في الصين في العقد الماضي، وهي جزء من جيل من الشركات الناشئة التي ازدهرت بدعم من شركة ""تنسنت"". جنباً إلى جنب مع شركة "" بايتدانس"" ، الشركة الأم لشركة "" تيك توك ""، وكانت التجهيزات التي شارك في ابتكارها ""سو هوا""، رجل الأعمال الصيني، في عام 2013 رائدة في تنسيق البث المباشر، ومقاطع الفيديو الصغيرة التي جرى تبنِّيها منذ ذلك الحين في جميع أنحاء العالم من قبل شركات مثل ""فيسبوك إنك"". كما يمكن أن يختبر الطرح العام الأولي الوشيك لشركة "" كويشو"" شهية المستثمرين لمنافسها الأكبر بكثير، الذي بلغت قيمته آخر مرة 180 مليار دولار.10 مستثمرين استراتيجييناجتذب طرح "" كويشو "" 10 مستثمرين رئيسيين، وافقوا على الاكتتاب بمبلغ 2.45 مليار دولار في الأسهم، بناء على النقطة الوسطى لنطاق سعر تسويق الأسهم (105-115 دولاراً هونغ كونغياً). وتضمُّ مجموعة المستثمرين شركة ""ذا كابيتال غروب""، وشركة ""تيماسيك هولدنغز بي تي إي""، وشركة "" جي آي سي بي تي إي ""، وشركة ""بلاك روك إنك""، بالإضافة إلى جهاز أبوظبي للاستثمار، كما تظهر البنود مؤكِّدة على ما جاء في تقرير سابق لوكالة "" بلومبيرغ نيوز "". ووافق المستثمرون الرئيسيون على الاحتفاظ بالأسهم لمدَّة ستة أشهر مقابل تخصيص مبكِّر ومضمون.يمكن أن يزيد تقييم شركة "" كويشو "" عن الضعف بعد الاكتتاب العام الأولي في هونغ كونغ. ووفقاً لشركة "" بيتش بوك ""؛ فإنَّ التسعير النهائي سيقيِّم الشركة الصينية عند 60.9 مليار دولار، ارتفاعاً من 28.6 مليار دولار حقَّقته في جولة تمويل العام الماضي. وحتى عند الحد الأدنى من نطاق التسعير، ستظل قيمة شركة "" كويشو "" عند 55.6 مليار دولار.كانت شركة ""بايتدانس"" مرشحة للاكتتاب العام مراراً، لكنَّها تعثَّرت العام الماضي جراء محاربة حظر أمريكي على تطبيق "" تيك توك "" بعد أن وصفت خدمة الفيديو بأنَّها تهديد للأمن القومي. وأجرى عملاق وسائل التواصل الاجتماعي مناقشات لجمع ملياري دولار قبل إدراج بعض أعمالها في بورصة هونغ كونغ ، بحسب ما ذكرت وكالة "" بلومبرغ نيوز "" في شهر نوفمبر الماضي.إيرادات تتزايدبلغ متوسط ​​عدد المستخدمين النشطين يومياً في ""كويشو "" 262 مليون مستخدم اعتباراً من شهر سبتمبر الماضي، وفقاً لنشرة إصدار الاكتتاب. وهذا الرقم لا يزال أقل من نصف الـ 600 مليون مستخدم لتطبيق ""دوين"" (Douyin )، النسخة الصينية من ""تيك توك"". ومع ذلك ، ارتفعت عائدات شركة "" كويشو "" بنسبة 49% لتصل إلى 40.7 مليار يوان (6.3 مليار دولار) في الأشهر التسعة الأولى من العام الماضي ، بعد أن عزَّزت جهود كسب الأموال من خلال الإعلانات والتجارة الإلكترونية. في حين أنَّها توفِّر وصولاً مجانياً إلى منصتها الرئيسية، فإنَّ الشركة الناشئة تأخذ جزءاً من الهدايا (الافتراضية) التي يقدِّمها المستخدمون إلى أصحاب البث المباشر المفضَّل لديهم الذين يؤدون تحديات تنافسية سريعة الانتشار، ومزامنة الشفاه مع أحدث أغاني الـ ""بوب"" ​​(شعبية )، ولعب ألعاب الفيديو.اجتذب طرح "" كويشو "" 10 مستثمرين رئيسيين، وافقوا على الاكتتاب بمبلغ 2.45 مليار دولار في الأسهم، بناء على النقطة الوسطى لنطاق سعر تسويق الأسهم (105-115 دولاراً هونغ كونغياً). وتضمُّ مجموعة المستثمرين شركة ""ذا كابيتال غروب""، وشركة ""تيماسيك هولدنغز بي تي إي""، وشركة "" جي آي سي بي تي إي ""، وشركة ""بلاك روك إنك""، بالإضافة إلى جهاز أبوظبي للاستثمار، كما تظهر البنود مؤكِّدة على ما جاء في تقرير سابق لوكالة "" بلومبيرغ نيوز "". ووافق المستثمرون الرئيسيون على الاحتفاظ بالأسهم لمدَّة ستة أشهر مقابل تخصيص مبكِّر ومضمون.يمكن أن يزيد تقييم شركة "" كويشو "" عن الضعف بعد الاكتتاب العام الأولي في هونغ كونغ. ووفقاً لشركة "" بيتش بوك ""؛ فإنَّ التسعير النهائي سيقيِّم الشركة الصينية عند 60.9 مليار دولار، ارتفاعاً من 28.6 مليار دولار حقَّقته في جولة تمويل العام الماضي. وحتى عند الحد الأدنى من نطاق التسعير، ستظل قيمة شركة "" كويشو "" عند 55.6 مليار دولار.كانت شركة ""بايتدانس"" مرشحة للاكتتاب العام مراراً، لكنَّها تعثَّرت العام الماضي جراء محاربة حظر أمريكي على تطبيق "" تيك توك "" بعد أن وصفت خدمة الفيديو بأنَّها تهديد للأمن القومي. وأجرى عملاق وسائل التواصل الاجتماعي مناقشات لجمع ملياري دولار قبل إدراج بعض أعمالها في بورصة هونغ كونغ ، بحسب ما ذكرت وكالة "" بلومبرغ نيوز "" في شهر نوفمبر الماضي.بلغ متوسط ​​عدد المستخدمين النشطين يومياً في ""كويشو "" 262 مليون مستخدم اعتباراً من شهر سبتمبر الماضي، وفقاً لنشرة إصدار الاكتتاب. وهذا الرقم لا يزال أقل من نصف الـ 600 مليون مستخدم لتطبيق ""دوين"" (Douyin )، النسخة الصينية من ""تيك توك"". ومع ذلك ، ارتفعت عائدات شركة "" كويشو "" بنسبة 49% لتصل إلى 40.7 مليار يوان (6.3 مليار دولار) في الأشهر التسعة الأولى من العام الماضي ، بعد أن عزَّزت جهود كسب الأموال من خلال الإعلانات والتجارة الإلكترونية. في حين أنَّها توفِّر وصولاً مجانياً إلى منصتها الرئيسية، فإنَّ الشركة الناشئة تأخذ جزءاً من الهدايا (الافتراضية) التي يقدِّمها المستخدمون إلى أصحاب البث المباشر المفضَّل لديهم الذين يؤدون تحديات تنافسية سريعة الانتشار، ومزامنة الشفاه مع أحدث أغاني الـ ""بوب"" ​​(شعبية )، ولعب ألعاب الفيديو.تنسنت أكبر مستثمر في كويشوتظهر النشرة أنَّ شركة "" تنسنت"" تمتلك حوالي 21.6 % من أسهم شركة ""كويشو""، ومن بين الداعمين الآخرين شركات رأس المال الاستثماري، مثل ""دي سي إم""، و""دي إس تي غلوبال""،و""سيكويا كابيتال تشاينا"".وقفزت أسهم شركة "" تنسنت"" بنسبة 6.4 % لتصل إلى أعلى مستوى لها على الإطلاق في التعاملات المبكرة يوم الإثنين في هونغ كونغ.كما تعمل شركات ""مورغان ستانلي""، و""بنك أوف أمريكا كورب""، و ""تشاينا رينيسانس هولدينجز ليمتد"" على الصفقة.تظهر النشرة أنَّ شركة "" تنسنت"" تمتلك حوالي 21.6 % من أسهم شركة ""كويشو""، ومن بين الداعمين الآخرين شركات رأس المال الاستثماري، مثل ""دي سي إم""، و""دي إس تي غلوبال""،و""سيكويا كابيتال تشاينا"".وقفزت أسهم شركة "" تنسنت"" بنسبة 6.4 % لتصل إلى أعلى مستوى لها على الإطلاق في التعاملات المبكرة يوم الإثنين في هونغ كونغ.كما تعمل شركات ""مورغان ستانلي""، و""بنك أوف أمريكا كورب""، و ""تشاينا رينيسانس هولدينجز ليمتد"" على الصفقة.",https://www.asharqbusiness.com/article/5039/كويشو-الصينية-تسعى-لأكبر-اكتتاب-لشركة-تكنولوجيا-منذ-أوبر,ريادة أعمال
"
                                نصائح لرواد الأعمال في زمن الـ""كورونا""؟ ","عندما كان ""ترينت جريفين براف"" يعمل كمديرٍ عامٍ لفندقٍ في مدينة ""سكنيكتادي"" بولاية نيويورك، كان النزلاء والزملاء دائمًا ما يشتكون من خدمة سيارات الأجرة السيئة في المنطقة. وهو ما حفزه ليطلق خدمة مواصلات تعمل مع عدد قليل من الفنادق.ويقول ""ترينت: ""كانت لدي دومًا روح رائد الأعمال، وحتى عندما كنت أصغر سنًا، لطالما رغبت بأن أصبح رجل أعمال"".ومع رواج مشروعه ""Tech Valley Shuttle"" وسَّع نشاطه ليخدم المدارس وأماكن عمل أخرى، وجعل جريفين براف من أهدافه توظيف مدانين سابقين أطلق سراحهم، وكذلك تثقيف أرباب الأعمال بشأن الإعفاءات الضريبية التي يمكنهم الحصول عليها من خلال استخدام شركته المملوكة لأحد شرائح الأقليات.عندما كان ""ترينت جريفين براف"" يعمل كمديرٍ عامٍ لفندقٍ في مدينة ""سكنيكتادي"" بولاية نيويورك، كان النزلاء والزملاء دائمًا ما يشتكون من خدمة سيارات الأجرة السيئة في المنطقة. وهو ما حفزه ليطلق خدمة مواصلات تعمل مع عدد قليل من الفنادق.ويقول ""ترينت: ""كانت لدي دومًا روح رائد الأعمال، وحتى عندما كنت أصغر سنًا، لطالما رغبت بأن أصبح رجل أعمال"".ومع رواج مشروعه ""Tech Valley Shuttle"" وسَّع نشاطه ليخدم المدارس وأماكن عمل أخرى، وجعل جريفين براف من أهدافه توظيف مدانين سابقين أطلق سراحهم، وكذلك تثقيف أرباب الأعمال بشأن الإعفاءات الضريبية التي يمكنهم الحصول عليها من خلال استخدام شركته المملوكة لأحد شرائح الأقليات.وينبع دافع براف هذا من تجربته الشخصية، حيث قضى ثلاث سنوات ونصف في السجن لبيعه المخدرات في مراهقته. وفي الوقت الذي قضاه هناك، التحق بدورات من كلية ""Marist"" وكسب ثقة في قدراته لأول مرة، حسبما يقول.وفي محاولاته لمساعدة الأشخاص الذين مروا بظروفه، وظف ""جريفين براف"" سائقيه كموظفين بعقود كاملة، وليس كمتعاقدين مستقلين.ويقول الشاب الذي يبلغ من العمر 36 عامًا: ""يكلفني ذلك أموالًا أكثر؛ ولكني أشعر بأنني قادرٌ على مساعدة المزيد من الأشخاص"".ضربة ""كورونا""وفي أوائل 2020، كانت شركته تعمل بجهدٍ وتضاعفت أرقامها السنوية، وعندما تفشى وباء كورونا، تراجعت الحجوزات على خدمات الشركة بنسبة 90% لأن الناس لم تكن تذهب للعمل أو المدارس أو أي مكان، ويقول ""جريفين براف"": ""لقد جن جنوننا بالكامل. وكان لكوفيد تأثيرٌ مدمرٌ علينا"".ومن أجل مساعدة الأسر التي تعاني، وأيضا للحفاظ على انشغال موظفيه الـ 20، أصبح ""جريفين براف"" يقوم بتوصيل الطعام مجانًا لبنوك الطعام وغيرها من المنظمات غير الربحية.ولإدراكه أن خدمات النقل لن تتعافى على الأرجح في المستقبل القريب، بدأ بتسريح موظفيه آملا في عودة الأمور إلى طبيعتها في 2021.في الوقت نفسه، فكر في طريقة جديدة ليدر دخلًا، ويضيف: ""لدي ثلاثة أطفال وزوجة وأم تعيش معنا في المنزل"".وينبع دافع براف هذا من تجربته الشخصية، حيث قضى ثلاث سنوات ونصف في السجن لبيعه المخدرات في مراهقته. وفي الوقت الذي قضاه هناك، التحق بدورات من كلية ""Marist"" وكسب ثقة في قدراته لأول مرة، حسبما يقول.وفي محاولاته لمساعدة الأشخاص الذين مروا بظروفه، وظف ""جريفين براف"" سائقيه كموظفين بعقود كاملة، وليس كمتعاقدين مستقلين.ويقول الشاب الذي يبلغ من العمر 36 عامًا: ""يكلفني ذلك أموالًا أكثر؛ ولكني أشعر بأنني قادرٌ على مساعدة المزيد من الأشخاص"".وفي أوائل 2020، كانت شركته تعمل بجهدٍ وتضاعفت أرقامها السنوية، وعندما تفشى وباء كورونا، تراجعت الحجوزات على خدمات الشركة بنسبة 90% لأن الناس لم تكن تذهب للعمل أو المدارس أو أي مكان، ويقول ""جريفين براف"": ""لقد جن جنوننا بالكامل. وكان لكوفيد تأثيرٌ مدمرٌ علينا"".ومن أجل مساعدة الأسر التي تعاني، وأيضا للحفاظ على انشغال موظفيه الـ 20، أصبح ""جريفين براف"" يقوم بتوصيل الطعام مجانًا لبنوك الطعام وغيرها من المنظمات غير الربحية.ولإدراكه أن خدمات النقل لن تتعافى على الأرجح في المستقبل القريب، بدأ بتسريح موظفيه آملا في عودة الأمور إلى طبيعتها في 2021.في الوقت نفسه، فكر في طريقة جديدة ليدر دخلًا، ويضيف: ""لدي ثلاثة أطفال وزوجة وأم تعيش معنا في المنزل"".مفاجأة غير متوقعةوفي أواخر يونيو 2020، راسلته شركة ""أمازون"" على نحو غير متوقع، وقبل عملاق التجزئة عبر الإنترنت طلبًا تقدم به ""جريفين براف"" ليصبح مزود خدماتٍ لوجستية لهم، ومن خلال هذه الصفقة أُتيح له إطلاق أعمال جديدة بسرعة.في يوليو 2020، عاد إلى العمل ووظف المزيد من الأشخاص في شركته "" G-B Logistics""، التي عملت بشكل مستقل عن ""أمازون"" ولكنها اتبعت قواعدها ذاتها، مثل ارتداء السائقين للزي الموحد، وحمل المركبات للعلامة التجارية لـ ""أمازون"". ويقول ""جريفين براف"": ""الأمر أشبه بحصولي على امتياز تجاري"".وتعد ""G-B"" مسئولة عن كل طرود أمازون التي تزن أكثر من 40 رطلًا (1 رطل = 0.‬45 كيلو غرام) في دائرة يبلغ نصف قطرها 150 ميلًا (1 ميل = 1,609 كم) ، حول مدينة ألباني في نيويورك بما في ذلك أجزاء من ماساتشوستس، ونيوجيرسي، وفيرمونت. واستطاع بذلك ""جريفين براف"" تعيين أكثر من 30 موظفًا مع خطط لمضاعفة هذا العدد، نظرًا لأنه يتوقع أن يصل عدد المركبات التي يُشغلها إلى 25 مركبةً (بعضها مستأجرٌ لوقتٍ طويلٍ وفقًا لعقودٍ والبعض الآخر مستأجرٌ لفتراتٍ قصيرة)، وأن يصل عدد الطرقات التي تكون تحت مسؤوليته إلى 25 طريقًا، بالتزامن مع موسم الأعياد.واليوم يُوصِّلُ سائقوه بالفعل بضائع مثل أجهزة التمارين الرياضية والشوايات ومراتب الأسِرَّة للمتسوقين من ""أمازون"".‬وسمح التوسع في نقل الطرود لـ""جريفين براف"" بمتابعة السعي خلف هدفه وتحصيل المزيد من الخبرة في مساعدة الناس على التقدم في حياتهم المهنية، ومواصلة مهمته في مساعدة الأشخاص الذين يواجهون عوائق توظيفية.ويقول إن السؤال الذي يتعين على رواد الأعمال مثله أن يسألوه لأنفسهم هو ""كيف تحقق النمو في أعمالك بطريقة تجعل كل ما تفعله يساعدك على تحقيق أهدافك الرئيسية"".وفي أواخر يونيو 2020، راسلته شركة ""أمازون"" على نحو غير متوقع، وقبل عملاق التجزئة عبر الإنترنت طلبًا تقدم به ""جريفين براف"" ليصبح مزود خدماتٍ لوجستية لهم، ومن خلال هذه الصفقة أُتيح له إطلاق أعمال جديدة بسرعة.في يوليو 2020، عاد إلى العمل ووظف المزيد من الأشخاص في شركته "" G-B Logistics""، التي عملت بشكل مستقل عن ""أمازون"" ولكنها اتبعت قواعدها ذاتها، مثل ارتداء السائقين للزي الموحد، وحمل المركبات للعلامة التجارية لـ ""أمازون"". ويقول ""جريفين براف"": ""الأمر أشبه بحصولي على امتياز تجاري"".وتعد ""G-B"" مسئولة عن كل طرود أمازون التي تزن أكثر من 40 رطلًا (1 رطل = 0.‬45 كيلو غرام) في دائرة يبلغ نصف قطرها 150 ميلًا (1 ميل = 1,609 كم) ، حول مدينة ألباني في نيويورك بما في ذلك أجزاء من ماساتشوستس، ونيوجيرسي، وفيرمونت. واستطاع بذلك ""جريفين براف"" تعيين أكثر من 30 موظفًا مع خطط لمضاعفة هذا العدد، نظرًا لأنه يتوقع أن يصل عدد المركبات التي يُشغلها إلى 25 مركبةً (بعضها مستأجرٌ لوقتٍ طويلٍ وفقًا لعقودٍ والبعض الآخر مستأجرٌ لفتراتٍ قصيرة)، وأن يصل عدد الطرقات التي تكون تحت مسؤوليته إلى 25 طريقًا، بالتزامن مع موسم الأعياد.واليوم يُوصِّلُ سائقوه بالفعل بضائع مثل أجهزة التمارين الرياضية والشوايات ومراتب الأسِرَّة للمتسوقين من ""أمازون"".‬وسمح التوسع في نقل الطرود لـ""جريفين براف"" بمتابعة السعي خلف هدفه وتحصيل المزيد من الخبرة في مساعدة الناس على التقدم في حياتهم المهنية، ومواصلة مهمته في مساعدة الأشخاص الذين يواجهون عوائق توظيفية.ويقول إن السؤال الذي يتعين على رواد الأعمال مثله أن يسألوه لأنفسهم هو ""كيف تحقق النمو في أعمالك بطريقة تجعل كل ما تفعله يساعدك على تحقيق أهدافك الرئيسية"".نصائح هامة لرواد الأعمالوفيما يلي بعض النصائح من ""جريفين برات"" للأشخاص الذين يتطلعون إلى إطلاق شركة اليوم أو إعادة توجيه شركة قائمة:قم بواجبك:يحث ""جريفين براف"" رواد الأعمال أن يقوموا بأبحاث معمقة في العمل التجاري ويعرفون تمامًا ما هم على وشك الانخراط فيه، وإعطاء وقت للتخطيط ووضع كافة التفاصيل. ويقول إن ""أمازون"" لم تقبله من المرة الأولى التي تقدم فيها بطلب لأنه لم يكن يأخذ الأمر بالجدية الكافية.كن منفتحًا على الأفكار الجديدة والتغيير:يقول ""جريفين براف"": ""أُخبرُ أولادي أن الفرص حولنا في جميع الأوقات. ويعد الوقت الحالي وقتًا عظيمًا للشركات لأن تُغير نشاطها""، حيث ساهم الوباء في إلغاء بعض خدمات النقل التي لم تكن ذات جدوى""، ويستطرد: ""قم بتوسعة النشاطات ذات الربحية العالية، وقلّص الخدمات التي لا تعود بعائدٍ كبير"".أوجد شبكة من العلاقات:استهدف تطوير شبكة من الأشخاص الأذكياء الذين يمتلكون خبرة تفتقر إليها، ويقول ""جريفين براف"": ""جِد أشخاصًا يدفعون بك إلى الأمام، وتتعلم منهم ويُحاسبونك إن أخطأت، وعندما تكون في وسط كل ذلك لا تنسى أن تبني علاقة جيدة مع أحد المُقرضين"".وفيما يلي بعض النصائح من ""جريفين برات"" للأشخاص الذين يتطلعون إلى إطلاق شركة اليوم أو إعادة توجيه شركة قائمة:يحث ""جريفين براف"" رواد الأعمال أن يقوموا بأبحاث معمقة في العمل التجاري ويعرفون تمامًا ما هم على وشك الانخراط فيه، وإعطاء وقت للتخطيط ووضع كافة التفاصيل. ويقول إن ""أمازون"" لم تقبله من المرة الأولى التي تقدم فيها بطلب لأنه لم يكن يأخذ الأمر بالجدية الكافية.يقول ""جريفين براف"": ""أُخبرُ أولادي أن الفرص حولنا في جميع الأوقات. ويعد الوقت الحالي وقتًا عظيمًا للشركات لأن تُغير نشاطها""، حيث ساهم الوباء في إلغاء بعض خدمات النقل التي لم تكن ذات جدوى""، ويستطرد: ""قم بتوسعة النشاطات ذات الربحية العالية، وقلّص الخدمات التي لا تعود بعائدٍ كبير"".استهدف تطوير شبكة من الأشخاص الأذكياء الذين يمتلكون خبرة تفتقر إليها، ويقول ""جريفين براف"": ""جِد أشخاصًا يدفعون بك إلى الأمام، وتتعلم منهم ويُحاسبونك إن أخطأت، وعندما تكون في وسط كل ذلك لا تنسى أن تبني علاقة جيدة مع أحد المُقرضين"".ابحث عن مرشدين:كان أحد مرشدي ""جريفين براف"" رجل أعمالٍ متقاعدٍ في عقده الثامن سبق له وأن كسب الملايين، ويقول: ""نحن نتكلم أسبوعيًا لساعات"". وهذا المرشد هو الذي شجعه على التقدم بطلب لـ""أمازون"".وتذكر ""جريفين براف"" قوله: ""إذا كنت تعمل لدى أغنى إنسان على الإطلاق، فيجب أن تتمكن من جني الأموال"".كن شجاعًا: يقول ""جريفين براف"": ""إذا أطلقت شركة، التزم بجعلها ناجحة حتى في الأوقات الصعبة، مضيفا: ""أنا شخصٌ مجازفٌ ومستعدٌ دائمًا للرهان على نفسي، وهي عقلية يتعين على رائد الأعمال الحقيقي امتلاكها. كن واثقًا وذكيًا بشأن المخاطر، وإذا كانت المكاسب تتجاوز المخاطر غامر وامض قدمًا"".كان أحد مرشدي ""جريفين براف"" رجل أعمالٍ متقاعدٍ في عقده الثامن سبق له وأن كسب الملايين، ويقول: ""نحن نتكلم أسبوعيًا لساعات"". وهذا المرشد هو الذي شجعه على التقدم بطلب لـ""أمازون"".وتذكر ""جريفين براف"" قوله: ""إذا كنت تعمل لدى أغنى إنسان على الإطلاق، فيجب أن تتمكن من جني الأموال"".يقول ""جريفين براف"": ""إذا أطلقت شركة، التزم بجعلها ناجحة حتى في الأوقات الصعبة، مضيفا: ""أنا شخصٌ مجازفٌ ومستعدٌ دائمًا للرهان على نفسي، وهي عقلية يتعين على رائد الأعمال الحقيقي امتلاكها. كن واثقًا وذكيًا بشأن المخاطر، وإذا كانت المكاسب تتجاوز المخاطر غامر وامض قدمًا"".",https://www.asharqbusiness.com/article/3707/نصائح-لرواد-الأعمال-في-زمن-الـكورونا,ريادة أعمال
