Title,Content,Link,Category
أيوا تعلن عن افتتاح أول متجر فعلي لها,أعلنت شركة أيوا للتجارة الإلكترونية للنظارات والعدسات ومقرها منطقة الخليج العربي عن افتتاح أول متجر فعلي لها في مول الظهران، المملكة العربية السعودية.بدأت أيوا كمنصة لبيع النظارات والعدسات، لتصل الآن مرحلة أخرى في مسيرتها بافتتاح أول متجر رسمي تقدم فيه تشكيلة منوعة من النظارات الشمسية والبصرية، والعدسات اللاصقة الطبية والملونة للرجال والنساء والأطفال.توفر الشركة تجربة مغايرة في متجرها من خلال تقنية التجربة الافتراضية الحديثة التي تتيح لهم الاختيار من مجموعة واسعة من النظارات الشمسية والبصرية والعدسات اللاصقة الملونة التي تتجاوز حدود السلع المتوفرة وتجربتها.وبهذه المناسبة، قال عبدالله الرقيب، مدير عام أيوا في المملكة العربية السعودية: “يشرفنا افتتاح أول متجر لنا في مول الظهران، حيث يوفر لنا فرصة مثالية لدمج تجربة التسوق الإلكترونية والتقليدية، من أجل التفاعل مباشرةً مع زبائننا. هدفنا هو أن نقدم تجربة تسوق مميزة ترتكز على تحقيق أقصى قدر من رضا الزبائن. لا يقتصر الأمر على كون منتجاتنا عصرية وذات أسعار معقولة، ولكن مع افتتاح متجر ايوا الفعلي، نهدف لزيادة راحة الزبائن لتناسب خياراتهم وتتخطّى توقّعاتهم. يمكنكم الآن اكتشاف تشكيلات النظارات والعدسات المعروضة سواء على متجرنا الإلكتروني أو في متجرنا الفعلي الجديد.”,https://jawlah.co/14368,ريادة أعمال
شركة AZOM تغلق جولة استثمارية بقيمة 36 مليون ريال من Assraljawal ومستثمر فرد,أعلنت شركة AZOM، المتخصصة في الإلكترونيات والبرمجيات، عن إغلاق جولة استثمارية (Series A) بقيمة 36 مليون ريال سعودي من عصر الجوال “Assraljawal”، أكبر موزعي الهواتف بالمملكة، بالإضافة إلى مستثمر فرد.كانت AZOM قد تأسست في أواخر عام 2019 بهدف توفير وتطوير التقنيات والإلكترونيات كالهواتف وغيرها بأفضل الأسعار والخدمات الممكنة وفقاً لبيانها. وبدأت الشركة بإطلاق هاتف AzomDesert2 الذي ركز على السوق المتوسط بأسعار منافسة مقابل المميزات، كما قامت بتطوير واجهة المستخدم الخاصة بالجهاز تحت اسم Ibrahim UI بالإضافة إلى ربط خوارزميات الذكاء الصناعي وتطوير بعض التطبيقات التي من شأنها أن ترفع من تجربة المستخدم مثل AZOM Care.وتقول الشركة أنها تمكنت الشركة من تحقيق نتائج كبيرة في فترة وجيزة، حيث حقق جهاز AZOM Desert2 أعلى نسبة تفعيل في الأجهزة المتوسطة في شهر ديسمبر.وتسعى AZOM للاستمرار في تطوير المنتجات والتوسع الجغرافي والتصنيعي، حيث علق المدير التنفيذي محمد المنجم: “لازلنا في البداية لم نحقق أي شيء حتى الآن. أهدافنا كبيرة ولكنها مدروسة ومنطقية ونتطلع لتحقيقها مع شركائنا.” وأضاف: “لا يجب أن تكون التقنية عالية الثمن، وسنسعى للوصول إلى مجتمع نبنيه سوياً وسنستمر في الاستثمار في الأبحاث والتطوير حتى ينعكس عملنا على المجتمع والاقتصاد السعودي بشكل واضح”.من جانبه، علق رئيس مجموعة Assraljawal، الأستاذ محمد العريني، بقوله: “استثمارنا هذا هو نقطة انطلاق لمفهوم جديد في عالم الاتصالات وتقنية المعلومات. فقد استطعنا أن نثبت أن الشركات المحلية قادرة على تجاوز الشركات العالمية، وهذا ما حدث معنا في السنتين الماضيتين. لن نتوقف هنا، بل سنأخذ خطوات أكبر وخاصة بالتصنيع والمحتوى المحلي. وسنعمل جاهدين بأن تكون السلسلة كاملة تدار من شركات سعودية ابتداءً من التصنيع وانتهاءً بالبائع والمستهلك. وهذا سيتحقق بأسرع وقت ممكن ومن خلال هذه الشراكة”.,https://jawlah.co/14341,ريادة أعمال
منصة بث المحتوى Starzplay تحصل على تمويل بالدين بقيمة 25 مليون دولار من رؤية بارتنرز,حصلت منصة بث المحتوى المرئي في الشرق الأوسط والتي تعد المنافس الرئيسي لشبكة نتفليكس في المنطقة، Starzplay، على تمويل بالدين قدره 25 مليون دولار أمريكي من صندوق رؤية بارتنرز الإماراتي. وذلك بهدف دعم عمليات المنصة بالتوافق مع الطلب المتزايد عليها.تهدف Starzplay إلى التوسع لمناطق جغرافية جديدة، بالجانب إضافة محتوى متنوع للمستخدمين، وكذلك إنتاج محتوى خاص وحصري بها الفترة القادمة، وسيساعدها التمويل الجديد في تحقيق أهدافها المرجوة.تضم Starzplay نحو 1.8 مليون مشترك بحصة سوقية تُقدر 32%، وشهدت خلال عام 2020 المنصرم نمواً في عداد الاشتراكات المدفوعة وصل إلى 40%. وتتوقع المنصة أن يصل عدد الاشتراكات المدفوعة خلال السنوات الأربع القادمة إلى 4 ملايين.يُعد هذا الاستثمار هو الأول من نوعه في شركة ذات صلة بالتقنية في الإمارات لرؤية بارتنرز، بالرغم من أن الصندوق يتواجد في الإمارات.يُشار أن المنصة حصلت على استثمارات سابقة بقيمة 125 مليون دولار منذ إطلاقها في 2015، كان أبرزها من خدمة Starz المملوكة لاستديوهات Lionsgate والتي تمتلك الحصة الأكبر فيها، وكذلك State Street Global Advisors.,https://jawlah.co/14361,ريادة أعمال
منصة MySyara تغلق جولة استثمارية بقيمة 650 ألف دولار,أعلنت منصة MySyara وهي منصة متخصصة في خدمات المركبات ما بعد البيع عن إغلاقها جولة استثمارية (Pre-Series A) بقيمة 650 ألف دولار أمريكي. وجاءت الجولة تحت اشراف JRC Corporate Consulting وبمشاركة عدد من المستثمرين الأفراد.توفر المنصة خدماتها عبر تطبيقات الهواتف وتتيح للمستخدمين طلب أي خدمة في أي وقت وأي مكان، وذلك لتوفير مرونة عالية للمستخدمين في جميع أنحاء الإمارات.وتهدف MySyara التي تتخذ من الإمارات مقراً لها إلى توفير خدمات ما بعد البيع لجميع ما يتعلق بالمركبات، وترغب في استخدام جولة التمويل الأخيرة لدعم توسعها وإطلاق باقة خدمات إلكترونية متكاملة للمستخدمين في كل من أبو ظبي والشارقة خلال الأسابيع القادمة. ,https://jawlah.co/14356,ريادة أعمال
شركة SparkPost المتخصصة في حملات البريد الإلكتروني تحصل على تمويل قدره 180 مليون دولار,جمعت SparkPost، وهي منصة متخصصة في حملات البريد الإلكتروني، مبلغاً قدره 180 مليون دولار من LLR Partners و NewSpring Capital و PNC Bank.تأسست SparkPost في كولومبيا بولاية ميريلاند الأمريكية عام 2008 بهدف منح الشركات والمؤسسات رؤية واضحة حول حملات البريد الإلكتروني الخاصة بهم بما يتضمن معدل التسليم وعدد المشاركات، وذلك لمساعدتهم على مراقبة معدلات الارتداد، وتصفية مصادر البريد العشوائي، وتحديد ما إذا كانت رسائل البريد الالكتروني قد وصلت الوجهة المحددة ولم تنحرف عن مسارها؛ لأن التأخير أو فشل قد يؤدي إلى خسارة العميل.وجمعت الشركة في السابق حوالي 94 مليون دولار، ومع وجود الاستثمار الجديد بقيمة 180 مليون دولار تخطط الشركة للاستثمار في حقبة النمو الجديدة بالاعتماد على قاعدة عملائها الحاليين والتي تشمل زيلو، أدوبي، بنترست، تويتر، نيويورك تايمز، و Booking.com، بالإضافة إلى راكوتين، وزينغا.ومن الجدير ذكره أن 80% من الشركات الحالية مازالت تستخدم البريد الإلكتروني كأداة اتصال أساسية خاصة عندما يتعلق الأمر في المراسلات والاتصالات الخارجية.يُشار أنه وفي الأونة الأخيرة شهد قطاع تطبيقات الاتصال الحديثة نمواً مفرطاً وسريعاً نظراً لأهميته الكبيرة؛ فمثلاً الشهر الماضي جمعت شركة مليون دولار لمساعدة الشركات في إدارة توقيعات البريد الالكتروني الخاصة بهم؛ كما واستحوذت شركة Twilio على SendGrid في صفقة بقيمة 2 مليار دولار قبل عامين.,https://jawlah.co/14349,ريادة أعمال
إطلاق منصة IMATECO لربط مؤسسي الشركات الناشئة مع شركاء تقنيين,"أعلن محمد الزعبي، المستثمر المعروف والشريك الإداري في نما فنتشرز، عن إطلاق منصة IMATECO التي تهدف إلى ربط الشركات التقنية الناشئة مع شركاء تقنيين، وذلك لمساعدة الشركات الناشئة على تسريع نموها وتمكين التقنيين من المشاركة في تأسيس ودعم تلك الشركات.ويأتي إطلاق هذه المنصة لحل مشكلة متكررة تعاني منها الشركات الناشئة وتواجهها صناديق الاستثمار الجريء عند التقديم للحصول على الاستثمارات دون وجود شريك تقني يساعد فريق العمل ويستطيع فهم المتطلبات بصورة أوسع.ويعلق محمد الزعبي، مؤسس المنصة، حول ذلك بقوله: “تم تأسيس IMATECO لحل مشكلة نراها كل يوم كصندوق استثمار رأس مال جريء. تتقدم إلينا شركة تقنية ناشئة ونرى مؤسسين رائعين وعباقرة لكن للأسف لا نرى شريك تقني ضمن الفريق.”
ويوضح الزعبي: “الحقيقة أن هؤلاء المؤسسين غير التقنيين يبذلون مجهوداً للبحث عن الشريك التقني ولكنهم لا يستطيعون ايجاده بسبب عدم وجود قنوات تساعد على الوصول والتعرّف على الشريك التقني المناسب”.وكونها موجهة للشركاء التقنيين، فإن IMATECO تستهدف الوصول إلى التقنيين المختصين والراغبين بأن يصبحوا شركاء مؤسسين في الشركات التقنية الناشئة على حد سواء.الجدير بالذكر أن الاسم الخاص بالمنصة يأتي اختصاراً لجملة I’m a technical co-founder – والتي تعني “أنا شريك تقني”",https://jawlah.co/14343,ريادة أعمال
شركة التقنية الصحية الناشئة DilenyTech تحصل على تمويل بقيمة 160 ألف دولار,أعلنت شركة التقنية الصحية المصرية الناشئة، DilenyTech، عن حصولها على تمويل بقيمة 160 ألف دولار أمريكي (نحو 2.5 مليون جنيه مصري). ويهدف التمويل الجديد إلى دعم تطوير منصتها المدعومة بخوارزميات الذكاء الاصطناعي التي تعمل على تحسين وتسريع اكتشاف سرطان الثدي.يأتي التمويل من قبل برنامج التعاون الأكاديمي لتكنولوجيا المعلومات (ITAC) التابع لوكالة تنمية صناعة تكنولوجيا المعلومات (ITIDA)، وذلك بعد بضعة أشهر من حصول الشركة على براءة اختراع أمريكية حول تحليل الصور باستخدام تقنيات بالذكاء الاصطناعي.تأسست DilenyTech عام 2018 بهدف تطوير حلول ذكاء اصطناعي لتحليل الصور الطبية، وتقييم مخاطر سرطان الثدي، وإعداد التقارير المنظمة في العديد من التطبيقات الطبية. وأصبحت الشركة خلال فترة وجيزة واحدة من الشركات سريعة النمو في منطقة الشرق الأوسط وأفريقيا في المجال الطبي.وسبق أن قدمت الشركة خدماتها لعدد من مؤسسات التقنية الطبية الدولية رفيعة المستوى مع مستخدمين نشطين في 3 قارات مختلفة وفقاً لتصريحها. كما تضم فريق يجمع بين الخبرة المهنية والعلمية مع أكثر من 15 عاماً، وأكثر من 90 منشوراً علمياُ، وثلاث براءات اختراع أمريكية.كما أطلقت أول أداة عالمية لتقييم مخاطر سرطان الثدي ثنائية اللغة تدعم الذكاء الاصطناعي، حيث تدعم الأداة اللغتين العربية والإنجليزية. وطورت كذلك تقنية تستهدف التصوير بالموجات فوق الصوتية للاستخدام التجارية، وهي التقنية التي حصلت على براءة اختراع أمريكية مؤخراً بعد أن تم التحقق من صحتها من خلال العديد من الدراسات.يُشار أنه تم تصنيف DilenyTech في المركز الثاني في تحدي Decoding Health Challenge الذي نظمته Health 2.0 Egypt واليونسكو في ديسمبر 2019 وبرعاية اتصالات مصر ونوفارتيس. كما تم اختيار DilenyTech من بين أفضل 50 شركة ناشئة في مجال الذكاء الاصطناعي لمتابعتها في إفريقيا خلال 2020 وفقاً لـ Baobab Insights.,https://jawlah.co/14346,ريادة أعمال
عصاميون تختار الفائزين في مبادرتها بعد منافسة قوية بين 2000 مشارك,أعلنت أمانة مبادرة محمد بن إبراهيم السبيعي لدعم رواد الأعمال، عصاميون 2021م، استعداداتها لإقامة حفل إعلان الفائزين بالجائزة في نسختها الثالثة والتي تم الإعلان عنها الشهر الماضي.ومن المزمع إقامة الحفل ضمن أعمال منتدى ماسك السنوي للاستثمار في 7 فبراير المقبل بالرياض، وسط ترقب كبير من المشاركين الذين تجاوزا أكثر من ألفي رائد أعمال سعودي.وبهذا الشأن، قال الدكتور ممدوح الحوشان/ رئيس اللجنة التحضيرية لمبادرة عصاميون التي تنظمها شركة محمد بن إبراهيم السبيعي وأولاده للاستثمار ماسك: “إن لجان التحكيم انتهت من فرز ملفات المتقدمين وأجرت المقابلات الشخصية مع رواد الأعمال المتأهلين، لافتاً إلى أن عدد المسجلين بفضل الله فاق الرقم المستهدف ولله الحمد ووصل إلى رقم غير مسبوق في المواسم السابقة، معتبراً أن هذه الثقة من رواد الأعمال هي من أهم مكاسب (عصاميون) ومصدر فخر للعاملين فيها مما يحملهم مسؤولية أكبر في تحقيق مقومات العدالة وتساوي الفرص أمام جميع المسجلين”. وأوضح كذلك أن المشاركات النسائية في الجائزة وصلت نسبتها 22% وهو ما يظهر التفاعل الكبير من جانب رائدات أعمال سعوديات مع عصاميون، ولفت بأن منطقة جازان تصدرت عدد المشاركات، تلتها الرياض والمنطقة الشرقية، فيما استقبل مسار أفضل مشروع تجاري، قرابة ثلثي المشاريع المشاركة.وتميزت لجنة التحكيم في المبادرة بوجود نخبة من الخبراء والمتخصصين والأكاديميين في مجالات ريادة الأعمال بشكل عام وفي مجالات المسارات الأربعة للجائزة بشكل خاص وهي: مسار أفضل شخصية عصامية ريادية، ومسار أفضل مشروع تجاري، مسار أفضل مشروع صناعي، ومسار أفضل مشروع صحي أسهم في تخفيف تداعيات جائحة كورونا. وكان لكل مسار لجنة تحكيم منفصلة، وقد أجرت اللجان مقابلات شخصية مع المرشحين، واستمعت إلى عروضهم وناقشتهم حول مشاريعهم وقدرتها على النجاح والاستمرار والدور المجتمعي الذي يلعبه كل مشروع وفقاً لما أشار له د.الحوشان، حيث تم تصفية المشاركين إلى أكثر من مرحلة، قبل الاستقرار بشكل نهائي على اسم الفائز الأول في كل مسار.واختتم الحوشان تصريحه بالقول إن الجائزة باتت واحدة من أهم الجوائز في مجالها بالمملكة، كما استطاعت كسب الكثير من الشراكات الهامة مع عدد من الجهات في القطاعين الحكومي والخاص، ما عزز مساعيها لدعم الشباب السعودي وتحفيزه لخوض مجال الأعمال والاستمرار فيه، وتحويل المشاريع الشبابية المحلية إلى تجارب قادرة على المنافسة العالمية.وكانت جائزة (عصاميون) قد أغلقت باب المشاركة في 13 يناير 2021 بعد تمديد فترة المشاركة نتيجة الإقبال الكبير، فيما سيتم الإعلان عن الفائزين بحفل خلال منتدى ماسك السنوي للاستثمار في 7 فبراير 2021 بمشاركة كثير من الشخصيات العامة من القطاعين الحكومي والخاص، على أن يحصل الفائز الأول في كل مسار على 100 ألف ريال ودرع تذكاري ووثيقة رسمية، بالإضافة إلى دعم استشاري مقدم من شركاء ماسك للمشاريع الفائزة لمدة ستة شهور مجاناً.,https://jawlah.co/14336,ريادة أعمال
شركة NymCard تغلق جولة استثمارية بقيمة 7.6 مليون دولار بقيادة شروق بارتنرز,أكملت NymCard، الشركة المتخصصة في تقديم الخدمات المصرفية كأنظمة (BaaS)، جولة استثمارية (Series A) بقيمة 7.6 مليون دولار أمريكي بقيادة شروق بارتنرز، ومشاركة الصندوق العماني للتقنية عبر برنامجه جسور، وصندوق فينتشر سوق.وتقدم NymCard خدماتها المصرفية كأنظمة لشركات التقنية المالية الناشئة والمؤسسات المالية المستجدة من خلال تكامل أنظمتها عبر واجهة برمجة التطبيقات API المتقدمة.وتعمل على توفير حلول مبتكرة من خلال إصدار بطاقات الدفع الرقمية لاستخدامها في إتمام عمليات الدفع والشراء، وبذلك تسهل وتقلل تكاليف إصدار بطاقات الدفع على الشركات والمؤسسات.يُشار أن NymCard تأسست في لبنان على يد عمر أنسي عام 2016، وتتخذ الآن من أبو ظبي مقراً لها. وتمكنت الشركة بعد هذه الجولة الاستثمارية من رفع قيمة الاستثمارات التي حصلت عليها إلى 12 مليون دولار أمريكي، وتهدف من خلالها إلى دعم نموها والتوسع في منطقة الشرق الأوسط وشمال أفريقيا.,https://jawlah.co/14312,ريادة أعمال
فودكس تغلق جولة استثمارية بقيمة 75 مليون ريال بقيادة سنابل للاستثمار,أغلقت شركة فودكس السعودية الناشئة، المتخصصة في تقديم حلول لنقاط البيع وإدارة المطاعم، جولة استثمارية (Series B) بقيمة 75 مليون ريال سعودي (20 مليون دولار أمريكي)، وذلك بقيادة شركة سنابل للاستثمار التابعة لصندوق الاستثمارات العامة السعودي وصندوق STV، فيما شارك في الجولة مستثمرين مثل شركة علم، دراية المالية، وإنديفور كاتاليست.ارتفع إجمالي التمويل الذي تمكنت فودكس من جمعه حتى الآن إلى 105 ريال سعودي (28 مليون دولار أمريكي) من خلال الجولة الأخيرة والتي تهدف إلى تعزيز حصة الشركة في الأسواق التي تعمل بها حالياً، وتسريع خططها التوسعية عالمياً، إضافة إلى توسيع نشاطها في مجال التقنية المالية بشكل عام.وتلعيقاً على ذلك، قال أحمد الزيني، الشريك المؤسس والرئيس التنفيذي في فودكس: “يسعدنا أن نستهل العام الحالي بهذا الإنجاز الرائع، حيث تمكنا من الحصول على دعم وثقة مجموعة من المستثمرين البارزين. وعلى الرغم من الصعوبات التي شهدھا العام الماضي 2020، إلا أننا تمكنا من تبني نهج استباقي فعال لتحويل التحديات إلى فرص. ونحن ممتنون لجميع عملائنا والمستثمرين والشركاء الذين انضموا إلينا ودعموا مسيرتنا منذ انطلاقتنا الأولى، ونتطلع إلى تحقيق المزيد من النجاحات معاً في المستقبل”.وتابع الزيني: “لطالما كان رأس مالنا البشري ميزة تنافسية استراتيجية في فودكس، وتزداد أهمية هذا العامل الآن في الوقت الذي نقوم فيه بتوسيع استثماراتنا، حيث ندف إلى زيادة عدد موظفينا ليصبح لدينا 500 موظف بنهاية عام 2022، مع حرصنا المستمر على استقطاب الكفاءات المتميزة التي ستساهم في تطوير الشركة وتوسعها عالمياً”.من جهته، قال مصعب العثماني، الشريك المؤسس في فودكس والرئيس التقني: “تمثل جولة التمويل هذه علامة بارزة أخرى في مسيرتنا العملية. وإلى جانب حصول فودكس رسمياً خلال الشهر الماضي على ترخيص البنك المركزي السعودي (ساما) للعمل في مجال التقنية المالية في السعودية، سيساعدنا هذا الاستثمار الجديد على المضي قدماً في خطة تطوير منتجاتنا وبشكل سريع، لا سيما في مجال التقنية المالية لقطاع التجزئة”.فيما أشارت شركة سنابل للاستثمار في بيانها بالقول: “نحن متحمسون لقيادة هذه الجولة والشراكة مع فودكس، والتي تمكنت من النمو والتطور لتصبح نظاماً سحابياً متكاملاً لإدارة المبيعات واستقبال المدفوعات. نحن نرى أن فودكس أصبحت في وقت قصير من الشركات الرئيسية في المنطقة التي تساهم في تسريع وتيرة التحول الرقمي في قطاع التجزئة”.من جانبه، قال أحمد النعيمي، الشريك في صندوق STV الاستثماري: “لقد ألهمتنا رؤية فودكس والإنجازات التي حققتها حتى الآن. لقد أصبحت الشركة بمثابة بنية أساسية حيوية للشركات الصغيرة والمتوسطة ومنصة فعلية لرقمنة قطاع التجزئة. نحن متحمسون لدعم فريق فودكس ويسعدنا الانضمام إلى المستثمرين الآخرين لدعم مسيرة هذه الشركة الرائعة”.يُشار أن فودكس منذ تأسيسها تمكنت من تنفيذ أكثر من 5 مليارات عملية من خلال أنظمتها عن طريق أكثر من 50 ألف نقطة بيع، تخدم أكثر من 10 آلاف علامة تجارية للأطعمة والمشروبات.وقد أعلنت الشركة مؤخراً عن دخولها السوق المصري، وكذلك جمع 375 مليون ريال سعودي (100 مليون دولار أمريكي) من خلال شركة معالم للتمويل لتقديم الدعم لأصحاب المطاعم عبر تمكينهم من الحصول على قروض صغيرة متوافقة مع الشريعة الإسلامية.,https://jawlah.co/14316,ريادة أعمال
